1 啊！老师，多么神圣的职务啊;啊！老师，多么的刻敬职守啊
1 从冰雪的消融中，我们读出了春天的脚步;从穿石的滴水中，我们读出了坚持的可贵
1 从穿石的滴水中，我们读出了坚持的可贵;从蜂蜜的浓香中，我们读出了勤劳的甜美。
1 创新是用意志的血滴和拼搏的汗水酿成的琼浆——历久弥香;创新是用不凋的希望和不灭的向往编织的彩虹——绚丽辉煌
1 创新是用不凋的希望和不灭的向往编织的彩虹——绚丽辉煌;创新是用永恒的执着和顽强的韧劲筑起的一道铜墙铁壁——固若金汤。
1 创新是巍巍大厦的栋梁，没有它，就只是一堆散乱的砖瓦;创新是滔滔大江的河床，没有它，就只有一片泛滥的波浪
1 创新是滔滔大江的河床，没有它，就只有一片泛滥的波浪;创新是熊熊烈火的引星，没有它，就只有一把冰冷的柴把
1 创新是熊熊烈火的引星，没有它，就只有一把冰冷的柴把;创新是远洋巨轮的主机，没有它，就只剩下瘫痪的巨架。
1 没有了创新，整个民族就是死水一滩;没有了创新，一个民族前进的脚步将步履维艰
1 没有了创新，一个民族前进的脚步将步履维艰;没有了创新，一个民族就会被历史遗弃。
1 创新是石，擦出星星之火;创新是火，点燃希望之灯
1 创新是火，点燃希望之灯;创新是灯，照亮前进之路
1 创新是灯，照亮前进之路;创新是思路，引导我们前行。
1 创新需要智慧;创新需要头脑
1 创新需要头脑;创新需要灵感。
1 创新是古老大海上的一叶方舟，崭新的风帆扬起一片新的源泉;创新是绿茵草地里的一朵花朵，嫣红的花蕾绽放一抹新的希望
1 创新是绿茵草地里的一朵花朵，嫣红的花蕾绽放一抹新的希望;创新是苍苍蓝天中的一个太阳，灿烂的光辉闪耀一道新的永恒。
1 成长是跌跌撞撞还依然向前的勇气;成长是历经磨难却心怀感恩的沉着
1 成长是历经磨难却心怀感恩的沉着;成长是经历失败还傲然挺立的霸气
1 成长是经历失败还傲然挺立的霸气;成长是面对困难却坦然微笑的信心。
1 成长的烦恼是我们开始理智思索的开始;成长的烦恼是我们人生必须经历的过程
1 成长的烦恼是我们人生必须经历的过程;成长的烦恼是磨练我们毅力的途径
1 成长的烦恼是磨练我们毅力的途径;成长的烦恼是我们面对生活的锻炼。
1 成长的烦恼是苦茶，干涩干涩的;成长的烦恼是坚冰，冰凉冰凉的
1 成长的烦恼是坚冰，冰凉冰凉的;成长的烦恼是泪水，无休无止的。
1 成长的烦恼，是人生道路上的一块绊脚石，只有把他克服，才能继续前进;成长的烦恼，是一直没有点亮的蜡烛，只有找到火苗，才能点燃它
1 成长的烦恼，是一直没有点亮的蜡烛，只有找到火苗，才能点燃它;成长的烦恼，是一颗没有了绿色的小草，只有给了他营养，他才能恢复原有的绿色。
1 成长的烦恼是苦茶，干涩干涩的;成长的烦恼是坚冰，冰冻冰冻的
1 成长的烦恼是坚冰，冰冻冰冻的;成长的烦恼是泪水，无情无情的。
1 成熟的稻穗低着头，那是在启示我们要谦虚;一群蚂蚁抬走骨头，那是在启示我们要齐心协力
1 一群蚂蚁抬走骨头，那是在启示我们要齐心协力;长江东流奔腾不息，那是在启示我们为理想奋斗。
1 春秋战国，诸子百家，深邃如江海，滋育华夏，有孔子老庄，恰似“江河万古流”;唐朝宋代，骚人墨客，浩繁如星辰，照耀神州，有李杜苏辛，正如“光焰万丈长”
1 唐朝宋代，骚人墨客，浩繁如星辰，照耀神州，有李杜苏辛，正如“光焰万丈长”;元明清时，戏曲小说，高妙如山川，丰富民族，有汉卿雪芹，已是“托体同山阿”。
1 春，是一首歌，抑扬顿挫，是一幅画，生趣盎然，是永远奔跑的旋律;夏，是一支舞，热情奔放，是一层纱，飘逸洒脱，是永远踊跃的精灵
1 夏，是一支舞，热情奔放，是一层纱，飘逸洒脱，是永远踊跃的精灵;秋，是一首诗，清高孤傲，是一缕泉，冷酷不羁，是永远飞翔的白鹤
1 秋，是一首诗，清高孤傲，是一缕泉，冷酷不羁，是永远飞翔的白鹤;冬，是一江雪，寒幽肃飒，是一顷湖，银装素裹，是永远垂钓的智者。
1 春天的校园是绿色的;夏天的校园是裸色的
1 夏天的校园是裸色的;冬天的校园是白色的
1 冬天的校园是白色的;秋天的校园却是多彩的。
1 春天的雨，细腻而轻柔，给山野披上美丽的衣裳;夏天的雷，迅疾而猛烈，为生命敲响热烈的战鼓
1 夏天的雷，迅疾而猛烈，为生命敲响热烈的战鼓;秋天的风，凉爽而惬意，为落叶送去温馨的问候
1 秋天的风，凉爽而惬意，为落叶送去温馨的问候;冬天的雪，慈祥而温厚，为庄稼带来多情的呵护。
1 春天一片片绿草争相发芽;夏天一树树知了争相欢叫
1 夏天一树树知了争相欢叫;秋天一片片红叶争相挥洒
1 秋天一片片红叶争相挥洒;冬天一片片雪花争相飘落。
1 春天，是美丽的;春天，是迷人的
1 春天，是迷人的;春天，更是令人陶醉的。
1 春天像一位慈祥的母亲，轻抚着自己的儿女;春天像粉刷匠，使大地五颜六色，焕发生机
1 春天像粉刷匠，使大地五颜六色，焕发生机;春天像一位作家，他的文章到处充满诗情画意，令人回味无穷。
1 春天是红的，红的春联，红的桃花，红的脸颊;春天是绿的，绿的春草，绿的嫩芽，绿的心愿
1 春天是绿的，绿的春草，绿的嫩芽，绿的心愿;春天是蓝的，蓝的天宇，蓝的海线，蓝的梦想。
1 春天是希望的开始，意味着新的一年就要来到;春天是快乐的开始，意味着我们的见识与朋友就要变多
1 春天是快乐的开始，意味着我们的见识与朋友就要变多;春天是梦想的开始，我们在春天，洒下了希望的种子！
1 春是一位充满希望，青春活力的少女;夏是一位热情扬溢，魅力四射的姑娘
1 夏是一位热情扬溢，魅力四射的姑娘;秋是一位温和柔细，成熟内敛的阿姨
1 秋是一位温和柔细，成熟内敛的阿姨;冬是一位饱经沧桑，严厉冷峻的老人。
1 春雨落在了麦田里，绿油油的麦苗揉开了惺松的睡眼;春雨落在了池塘里，池塘里的冰融化了
1 春雨落在了池塘里，池塘里的冰融化了;春雨落在了树林里，树木换上了绿色的新装
1 春雨落在了树林里，树木换上了绿色的新装;春雨落在了草坪上，小草由黄变绿，绿得新鲜，绿得可爱，万物在春雨的滋润下显得生机勃勃。
1 因为她的到来，我们脱掉了厚厚的棉袄;因为她的到来，我们感到温暖
1 因为她的到来，我们感到温暖;因为她的到来，我们不再感到疲劳。
1 春天的土地是温馨的，它使万物萌生;夏天的土地是热烈的，它使生命拔节
1 夏天的土地是热烈的，它使生命拔节;秋天的土地则是诚实的，它用收成证明着播种者的品质。
1 翠绿的春天，小草萌发，百花盛开，美丽的自然勃发出生机与朝气;火红的夏天，娇阳似火，万物生长，热烈的自然绽放出活力和激情
1 火红的夏天，娇阳似火，万物生长，热烈的自然绽放出活力和激情;金黄的秋天，天高云淡，果熟稻香，成熟的自然收获着自豪与荣光
1 金黄的秋天，天高云淡，果熟稻香，成熟的自然收获着自豪与荣光;洁白的冬天，水瘦山寒，玉树琼枝，沉默的自然孕育着希望与梦想。
1 “采菊东篱下”是一种清静的潇洒;“胜似闲庭信步”是一种喜悦的潇洒
1 “胜似闲庭信步”是一种喜悦的潇洒;“明月松间照”是一种怡然的潇洒
1 “明月松间照”是一种怡然的潇洒;“举酒邀明月”是一种孤寂的潇洒
1 “举酒邀明月”是一种孤寂的潇洒;“仰天大笑出门去”是一种自信的潇洒
1 “仰天大笑出门去”是一种自信的潇洒;“我自横刀冲天笑”是一种无畏的潇洒
1 “我自横刀冲天笑”是一种无畏的潇洒;“留得残荷听雨声”是一种宽容的潇洒
1 “留得残荷听雨声”是一种宽容的潇洒;“一日看尽长安花”是一种得意的潇洒
1 “一日看尽长安花”是一种得意的潇洒;“醉卧沙场君莫笑”是一种豪迈的潇洒。
1 对其爱人忠贞不二，同甘共苦，即使大难临头也不离不弃;对工作有责任，说明其能尽职尽责，谨慎入微
1 对工作有责任，说明其能尽职尽责，谨慎入微;对社会对人民有责任，说明其能鞠躬尽瘁，死而后已。
1 多么鲜红的高度，尊严从这里独领神州风骚;多么有力的凝聚，自信从五角星的光芒中笑傲风景
1 多么有力的凝聚，自信从五角星的光芒中笑傲风景;多么豪迈的情怀，期待从这种浪漫中孕育美好。
1 对于压力，我岂折服;对于压力，我岂退却
1 对于压力，我岂退却;对于压力，我岂彷徨。
1 大海因為宽容，而變得浩瀚無邊;天空因為宽容，雲彩綿綿而美麗動人
1 天空因為宽容，雲彩綿綿而美麗動人;山峰因為宽容，彙集細土塵沙而巍峨聳立。
1 大海的宽容包容了從四面八方奔騰而來的江水;森林的宽容包容了許許多多的蔥蔥綠樹
1 森林的宽容包容了許許多多的蔥蔥綠樹;大地的宽容包容了世間萬物
1 大地的宽容包容了世間萬物;天空的宽容包容了無邊無際的藍天
1 当一个人怀疑自己的时候，他忘记了建立自信是一种习惯;当一个人浑噩度日的时候，他忘记了阅读好书是一种习惯
1 当一个人浑噩度日的时候，他忘记了阅读好书是一种习惯;当一个人悲观失望的时候，他忘记了建立自信是一种习惯
1 当一个人悲观失望的时候，他忘记了建立自信是一种习惯;当一个人志得意满的时候，他忘记了谦卑为怀是一种习惯
1 当一个人志得意满的时候，他忘记了谦卑为怀是一种习惯;当一个人背信弃义的时候，他忘记了诚实守信是一种习惯。
1 当山峰没有棱角的时候，当河水不在流，当时间停住日月不分，当天地万物化为虚有;当太阳不在上升的时候，当地球不再转动，当春夏秋冬不再变换，当花草树木全部凋残。
1 当你说爱我的时候，我就像得到了永生;当你离开我的时候，我就像患了癌症
1 当你离开我的时候，我就像患了癌症;当你再回到我身边的时候，我就像重获新生。
1 当遇到难题时，要拿出能解决它的勇气;当遇到困难时，要拿出能克服它的勇气
1 当遇到困难时，要拿出能克服它的勇气;当受到挫折时，要拿出站起来的勇气
1 当受到挫折时，要拿出站起来的勇气;当尝到成功时，要拿出更加努力的勇气。
1 当我忧郁时，亲情给我安慰;当我迟疑时，亲情给了我鼓励
1 当我迟疑时，亲情给了我鼓励;当我快乐时，亲情给了我祝福。
1 当你在婴儿时，亲情是哺育你成长的乳汁;当你在少年时，亲情是你避难的港湾
1 当你在少年时，亲情是你避难的港湾;当你在年老时，亲情是夕阳西下的一抹安慰。
1 当鲁迅说“不在沉默中爆发，就在沉默中灭亡”，我懂得了人应具有的反抗精神;当李白说“安能摧眉折腰事权贵，使我不得开心颜”，我懂得了作为人的尊严
1 当李白说“安能摧眉折腰事权贵，使我不得开心颜”，我懂得了作为人的尊严;当阿基米德说“给我一个支点，我将撬起地球”，我懂得了知识能给生命以无穷的力量
1 当阿基米德说“给我一个支点，我将撬起地球”，我懂得了知识能给生命以无穷的力量;当尼采说“失败的人，没有悲观的权力”，我懂得了当我失败时应该做些什么
1 当尼采说“失败的人，没有悲观的权力”，我懂得了当我失败时应该做些什么;当孟子说“尽信书则不如无书”，我懂得了应怎样去读书
1 当孟子说“尽信书则不如无书”，我懂得了应怎样去读书;当托尔斯泰说“对于心灵纯洁的人，生活是充满甜蜜和喜悦的”，我懂得了人生的真谛
1 当托尔斯泰说“对于心灵纯洁的人，生活是充满甜蜜和喜悦的”，我懂得了人生的真谛;当但丁说“走自己的路，让别人说去吧”，我懂得了该怎样去面对别人的误解
1 当但丁说“走自己的路，让别人说去吧”，我懂得了该怎样去面对别人的误解;当曹操说“老骥伏枥，志在千里”，我懂得了人到老也仍要有雄心壮志。
1 当小草冒出嫩芽时，那是春的呼唤，细密的雨永远是青春的寓言;当太阳直射大地是，那是夏的照耀，池塘的莲永远是热情的写照
1 当太阳直射大地是，那是夏的照耀，池塘的莲永远是热情的写照;当树叶静静飘落时，那是秋的气息，凉爽的风永远是美丽的象征
1 当树叶静静飘落时，那是秋的气息，凉爽的风永远是美丽的象征;当梅花朵朵绽放时，那是冬的来临，洁白的雪永远是纯洁的。
1 多渴望，多渴望重温余光中、戴望舒、三毛和舒婷那或清丽或婉约的诗行会带你梦中去。多渴望，多渴望在春意盎然的季节里骑着车踏一次青，放飞我幽囚一冬的思绪，看看是否枝头春意闹，让柔柔的轻风，暖暖的阳光，春天嫩绿恬静的微笑轻抚我久远的企盼!多渴望，多渴望在热闹奔放的夏季，重返我留下欢歌笑语的青草地，仰对晴朗朗的天宇，聆听大地的心跳，让甜丝丝的泥土芬芳渗入我的骨髓，听听小溪是否仍叮咚作响如梵阿玲奏着的名曲。多渴望，多渴望在硕果累累的金秋，回忆昔日欢乐的阳光，那时我会纵情地说：久违了，我的百草园;久违了，我的小蟋蟀
1 久违了，我的小蟋蟀;久违了，我梦里见她千百度的骄艳似火的枫叶林。多渴望背一肩行囊注—腔豪情勾勒青春的风景，浪迹天涯。多渴望在沉重的压抑之后驻足旷野高歌一曲，唱它个百川倒流，地动山摇，虽然声音已沙哑，依旧是最美的歌。
1 冬日的清晨，初阳半射的小巷里，有热气腾腾的豆浆油条;冬日的午后，暖阳呵护的小街头，有两军厮杀的象棋石盘
1 冬日的午后，暖阳呵护的小街头，有两军厮杀的象棋石盘;冬日的夜晚，寒月偷窥的小床边，有轻盈梦幻的摇篮小调。
1 它是一个雪白的精灵，降临在人间;它是一位优雅的女士，漫步在大地
1 它是一位优雅的女士，漫步在大地;它是一位伟大的画家，画出了最美的华彩!
1 冬天的大地被雪花点缀的银装素裹;冬天的山川被寒冷描绘的冰封千里
1 冬天的山川被寒冷描绘的冰封千里;冬天的人们被狂风怒号的穿棉裹袄。
1 冬天像一位公主，舞动神奇的面纱，送来阵阵寒风;冬天像一位巧匠，挥舞手中的刻刀，雕刻出最美丽的冰花
1 冬天像一位巧匠，挥舞手中的刻刀，雕刻出最美丽的冰花;冬天像一位魔法师，旋转着魔棒，幻化出飞扬的雪花
1 冬天像一位魔法师，旋转着魔棒，幻化出飞扬的雪花;冬天像一位时装设计师，用独具的眼光，为大地披上雪白的衣裳
1 冬天像一位时装设计师，用独具的眼光，为大地披上雪白的衣裳;冬天像一位音乐家，用灵巧的双手，谱写着风的乐章。
1 冬天是个时装设计师，为大地披上了雪白的衣裳;冬天是个魔术师，送给每个人大大的棉花糖冬天是是个音乐家，用各种各样的风谱写乐章
1 冬天是个魔术师，送给每个人大大的棉花糖冬天是是个音乐家，用各种各样的风谱写乐章;冬天是严厉的老师，用严寒与风雪做教鞭，教育我们拥有顽强的意志。
1 读书，使人思维活跃，聪颖智慧;读书，使人胸襟开阔，豁达晓畅
1 读书，使人胸襟开阔，豁达晓畅;读书，使人目光远大，志存高远
1 读沙漠，读出了它坦荡豪放的胸怀;读太阳，读出了它普照万物的无私
1 读太阳，读出了它普照万物的无私;读春雨，读出了它润物无声的柔情
1 读春雨，读出了它润物无声的柔情;读大海，读出了它气势磅礴的豪情
1 读大海，读出了它气势磅礴的豪情;读石灰，读出了它粉身碎骨不变色的清白。
1 风雨里，目标是雨后的彩虹;阳光下，目标是蔽日的浓荫
1 阳光下，目标是蔽日的浓荫;黑暗中，目标是前方的灯塔
1 黑暗中，目标是前方的灯塔;逆流上，目标是飞泻的瀑布！
1 风从水上走过，留下粼粼波纹;骆驼从沙漠上走过，留下深深的脚印
1 骆驼从沙漠上走过，留下深深的脚印;哨鸽从天空飞过，留下串串欢韵
1 哨鸽从天空飞过，留下串串欢韵;岁月从树林穿过，留下圈圈年轮。
1 父爱是一座大山，高大威严;父爱是一汪水，深藏不露
1 父爱是一汪水，深藏不露;父爱更是一双手，抚摸着我们走过春夏秋冬
1 父爱更是一双手，抚摸着我们走过春夏秋冬;而父爱更是一滴泪，一滴饱含温度的泪水。
1 父爱如山，高大而巍峨，让我望而生怯不敢攀登;父爱如天，粗旷而深远，让我而心怜不敢长啸
1 父爱如天，粗旷而深远，让我而心怜不敢长啸;父爱如河，细长而源源，让我不敢涉足。
1 父爱是拐杖，让我们在人生中少摔跟头;父爱是良言，让我们作出正确的判断
1 父爱是良言，让我们作出正确的判断;父爱是阳光，让我们健康的成长
1 父爱是阳光，让我们健康的成长;父爱是音乐，让我们快快乐乐的生活
1 父爱是音乐，让我们快快乐乐的生活;父爱是蜡烛，默默的为我们奉献着自己。
1 父爱是风，把你的烦恼通通吹走;父爱是被子，他使你感到温暖
1 父爱是被子，他使你感到温暖;父爱是臭豆腐，看起来不好，可香在你心里。
1 父亲是一口矿井，风雨中，疲劳的脊背在晨曦中缩短又被落日拉长;母亲是一柱火把，黑暗中，轻柔的的嗓音在歌谣中，沙哑又在半夜里重复
1 母亲是一柱火把，黑暗中，轻柔的的嗓音在歌谣中，沙哑又在半夜里重复;我是一粒小胚胎，晴空下，稚嫩的手臂在沃野上破土又在火光中挺立。
1 父母的一句谎言，让刚踏入社会的孩童脸若鲜花;老师的一句谎言，让遇到困难的学生增添信心
1 老师的一句谎言，让遇到困难的学生增添信心;医生的一句谎言，让恐惧的病人由毁灭走向新生。
1 感动是一泓清泉，洗净我内心的风尘;感动是一缕阳光，射进我从前封闭的内心
1 感动是一缕阳光，射进我从前封闭的内心;感动是一朵芬芳的小花，驱走我内心不干净的东西。
1 感动是亲情的温暖;感动是友谊的童真
1 感动是友谊的童真;感动是一杯能消除夏日炎炎的茶
1 感动是一杯能消除夏日炎炎的茶;感动是一个能忘记冬日寒冷的红薯
1 感动是一个能忘记冬日寒冷的红薯;感动是一个能忘记孤独的音乐盒。
1 感恩是对生命恩赐的领略;感恩是对生存的释然
1 感恩是对生存的释然;感恩是对现在拥有的在意
1 感恩是对现在拥有的在意;感恩是对有限生命的珍惜
1 感恩是对有限生命的珍惜;感恩是对赐予我们生命的人的牵挂
1 感恩是对赐予我们生命的人的牵挂;感恩是对陌路关爱的震颤。
1 感动是春天柔和的春风，接受着爱的洗礼，等待着生命的繁衍;感动是夏日似锦的繁花，透过鼻息的芳香，给人以亲切
1 感动是夏日似锦的繁花，透过鼻息的芳香，给人以亲切;感动是秋日绵绵的细雨，让你在微微战栗间感觉到透凉的清爽
1 感动是秋日绵绵的细雨，让你在微微战栗间感觉到透凉的清爽;感动是冬日轻轻的飘雪，慢慢的、柔柔的感觉，浸透你的肌肤。
1 感动可以是孤独时的结伴而行;感动可以是失落时耳边的激励
1 感动可以是失落时耳边的激励;感动可以是无助时的伸手相助
1 感动可以是无助时的伸手相助;感动可以是困难时的相互搀扶
1 感动可以是困难时的相互搀扶;感动可以是远行时的声声叮咛
1 感动可以是远行时的声声叮咛;感动可以是天各一方的遥遥牵挂。
1 感动是一湾清流，洗涤疲惫污垢的心灵;感动是初升的太阳，映出了万物姿态
1 感动是初升的太阳，映出了万物姿态;感动是降落的夕阳，射出世间真实。
1 感动可以是瀚海中微渺的小鱼;感动可以是空中一线绚烂的烟花
1 感动可以是空中一线绚烂的烟花;感动可以是清晨草尖上的露珠
1 感动可以是清晨草尖上的露珠;感动可以是西天若血的残阳
1 感动可以是西天若血的残阳;感动可以是广阔大漠中的一株绿草
1 感动可以是广阔大漠中的一株绿草;感动可以是幽暗深谷中的一丝光线。
1 感动是一种养分，它能滋润人的心田;感动是一种养分，它能净化人的心灵
1 感动是一种养分，它能净化人的心灵;感动是一种养分，它促使人奋进。
1 感动，是父母一句句亲切的叮咛;感动，是朋友一次次患难中的援助
1 感动，是朋友一次次患难中的援助;感动，是陌生人一声声紧张的问候。
1 感动，是慈母手中线，游子身上衣;感动，是感时花溅泪，恨别鸟惊心
1 感动，是感时花溅泪，恨别鸟惊心;感动，是忆君遥在潇湘上，愁听清猿梦里长。
1 感动是什么？感动是一碗热腾腾的心灵鸡汤;感动是什么？感动是妈妈送来的一杯热牛奶。
1 感动是春风吹拂下冰封已久的慢慢融化的小河;感动是白茫茫的雪地里一株傲然挺立、暗香浮动的红梅
1 感动是白茫茫的雪地里一株傲然挺立、暗香浮动的红梅;感动是浓密的丛林中汩汩流淌的一泓清泉
1 感动是浓密的丛林中汩汩流淌的一泓清泉;感动是无边的暗夜里那一轮如钩的月亮。
1 感动，是冬日寒风中那一双温暖的大手;感动，是春日清风中那扑鼻的花香
1 感动，是春日清风中那扑鼻的花香;感动，是那夏日凉风中那可爱的浪花
1 感动，是那夏日凉风中那可爱的浪花;感动，是秋日秋风中那枯黄的落叶
1 感动是阵阵微风，轻轻吹拂，摇动你心中的风铃;感动是层层波浪，缓缓前进，温柔地拍打着心中的“石壁”
1 感动是层层波浪，缓缓前进，温柔地拍打着心中的“石壁”;感动是悠悠回声，在心房中激荡，渐渐交融成一首歌曲。
1 沟通是交流的开端;沟通是友谊的桥梁
1 沟通是友谊的桥梁;沟通是心与心的交流
1 沟通是心与心的交流;沟通是真诚和友谊的伙伴。
1 沟通是春天的暖流，充满渴望;沟通是夏天的骄阳，炽热无比
1 沟通是夏天的骄阳，炽热无比;沟通是秋天的大雁，盼望南飞
1 沟通是秋天的大雁，盼望南飞;沟通是冬天的火炉，温暖人间。
1 沟通，是联络感情的纽带;沟通，是通向友谊的桥梁
1 沟通，是通向友谊的桥梁;沟通，是事业成功的基础。
1 沟通，是友谊的结晶;沟通，是从信任中开出的鲜花
1 沟通，是从信任中开出的鲜花;沟通，是人与人之间关爱的光环。
1 关爱是一个眼神，给学生无声的祝福;关爱是一缕青风，给学生身心的舒畅
1 关爱是一缕青风，给学生身心的舒畅;关爱是一场春雨，给学生心田的滋润
1 关爱是一场春雨，给学生心田的滋润;关爱是一句问侯，给学生春天的温暖。
1 关爱是阳光对春苗的布施德泽;关爱是清风对杨柳的温顺爱抚
1 关爱是清风对杨柳的温顺爱抚;关爱是妈妈顶着风雪送来的一件毛衣
1 关爱是妈妈顶着风雪送来的一件毛衣;关爱是友人的一句温情的祝愿
1 关爱是友人的一句温情的祝愿;关爱是摔倒后生疏人的一个扶持
1 关爱是摔倒后生疏人的一个扶持;关爱是老师的一个激励的眼神。
1 关爱似夏天的一缕清风;关爱似冬天的一团火
1 关爱似冬天的一团火;关爱似冬天里的一件棉袄。
1 关爱是一场春雨，给人心田的滋润;关爱是一个微笑，给人亲切的关怀
1 关爱是一个微笑，给人亲切的关怀;关爱是一湾清泉，给人心灵的洗涤。
1 关爱是一盏明灯，照亮了人们前进的道路;关爱是一艘小船，把人们带到爱的彼岸
1 关爱是一艘小船，把人们带到爱的彼岸;关爱是一把火，温暖了人们的心。
1 关爱是一片天空，给人无限的希望;关爱是一片森林
1 关爱是一片森林;关爱是一盏明亮的灯，照亮人们美好的未来。
